raw_value,record_count,proposed_official_task_type,official_task_type_id,classification,confidence,evidence,source_ids,years,departments,approval_status
小组pre,1,Group Presentation,47,PROPOSED_HIGH,HIGH,小组展示语义对应官方 Group Presentation。,source_006,2025,顾问部,CANDIDATE_ONLY
局部润色,1,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_003,2024,学管部,CANDIDATE_ONLY
帮忙收集数据,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
总结,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
数据收集+分析,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_006,2025,顾问部,CANDIDATE_ONLY
文献综述,1,,,REVIEW_REQUIRED,LOW,论文部分缩写/文献综述无法在官方 Dissertation、Dissertation-part、bibliography、framework 等之间唯一选择。,source_006,2025,顾问部,CANDIDATE_ONLY
期末作业,1,assignment,7,PROPOSED_MEDIUM,MEDIUM,作业可能是 assignment、essay、report 等；官方 assignment 是候选而非已确认映射。,source_001,2023,学管部,CANDIDATE_ONLY
期末考试,1,考试,9,PROPOSED_MEDIUM,MEDIUM,含考试语义，但与官方 online test-exam/quiz 的边界需人工确认。,source_002,2023,顾问部,CANDIDATE_ONLY
期末论文,1,Paper,30,PROPOSED_MEDIUM,MEDIUM,可对应官方 Paper，但“论文”可能指学位论文或课程论文，需人工确认。,source_002,2023,顾问部,CANDIDATE_ONLY
毕业影集,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_006,2025,顾问部,CANDIDATE_ONLY
毕业论文400词,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
毕业论文浅润,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
毕业论文答辩PPT,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
毕业设计,1,project,37,PROPOSED_MEDIUM,MEDIUM,毕业设计可为 project，但也可能为 Team Project，需确认。,source_001,2023,学管部,CANDIDATE_ONLY
毕业设计辅导,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
毕设辅导,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_003,2024,学管部,CANDIDATE_ONLY
海报+report,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_004,2024,顾问部,CANDIDATE_ONLY
海报800词,1,海报,14,PROPOSED_HIGH,HIGH,包含明确海报交付物语义。,source_002,2023,顾问部,CANDIDATE_ONLY
润色+降重+续写2000词,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_006,2025,顾问部,CANDIDATE_ONLY
润色1500词,1,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_004,2024,顾问部,CANDIDATE_ONLY
润色修改,1,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_005,2025,学管部,CANDIDATE_ONLY
深润,1,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_003,2024,学管部,CANDIDATE_ONLY
深润2000词,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
画图,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_001,2023,学管部,CANDIDATE_ONLY
神经系统代码,1,code/experiment,17,PROPOSED_HIGH,HIGH,包含代码/编程语义，对应官方 code/experiment。,source_004,2024,顾问部,CANDIDATE_ONLY
简历,1,CV/PS,27,PROPOSED_HIGH,HIGH,简历制作可直接落入官方 CV/PS 范围。,source_001,2023,学管部,CANDIDATE_ONLY
简历制作,1,CV/PS,27,PROPOSED_HIGH,HIGH,简历制作可直接落入官方 CV/PS 范围。,source_002,2023,顾问部,CANDIDATE_ONLY
线上考试,1,考试,9,PROPOSED_MEDIUM,MEDIUM,含考试语义，但与官方 online test-exam/quiz 的边界需人工确认。,source_003,2024,学管部,CANDIDATE_ONLY
线下考,1,考试,9,PROPOSED_MEDIUM,MEDIUM,含考试语义，但与官方 online test-exam/quiz 的边界需人工确认。,source_001,2023,学管部,CANDIDATE_ONLY
线性代数考试,1,考试,9,PROPOSED_MEDIUM,MEDIUM,含考试语义，但与官方 online test-exam/quiz 的边界需人工确认。,source_004,2024,顾问部,CANDIDATE_ONLY
续写,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_001,2023,学管部,CANDIDATE_ONLY
编程代码,1,code/experiment,17,PROPOSED_HIGH,HIGH,包含代码/编程语义，对应官方 code/experiment。,source_004,2024,顾问部,CANDIDATE_ONLY
网站制作,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_004,2024,顾问部,CANDIDATE_ONLY
网课,1,course work,36,PROPOSED_MEDIUM,MEDIUM,网课可能对应 course work，但记录不足以确认服务性质。,source_002,2023,顾问部,CANDIDATE_ONLY
考试辅导,1,考试,9,PROPOSED_MEDIUM,MEDIUM,含考试语义，但与官方 online test-exam/quiz 的边界需人工确认。,source_002,2023,顾问部,CANDIDATE_ONLY
考试，作业,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_003,2024,学管部,CANDIDATE_ONLY
补考1500词,1,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_002,2023,顾问部,CANDIDATE_ONLY
补考2h,1,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_002,2023,顾问部,CANDIDATE_ONLY
补考6000词,1,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_004,2024,顾问部,CANDIDATE_ONLY
补考90mins,1,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_002,2023,顾问部,CANDIDATE_ONLY
补考➕毕业论文,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_004,2024,顾问部,CANDIDATE_ONLY
补考作业+考试,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
视频+海报,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_004,2024,顾问部,CANDIDATE_ONLY
计算机科学,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_006,2025,顾问部,CANDIDATE_ONLY
论文质检,1,,,REVIEW_REQUIRED,LOW,官方区分普通质检与高级质检；原始值未注明等级。,source_004,2024,顾问部,CANDIDATE_ONLY
论文辅导变为润色,1,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_003,2024,学管部,CANDIDATE_ONLY
试卷做题,1,做题,10,PROPOSED_HIGH,HIGH,明确做题/试卷语义，对应官方 做题。,source_004,2024,顾问部,CANDIDATE_ONLY
语言班1200词➕1.15听力考试,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
选课+入学测试,1,,,MULTI_TASK,MULTI_TASK,包含多个任务语义；不得强制压缩到单一官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
选课课程内容分析,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
采访稿,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_003,2024,学管部,CANDIDATE_ONLY
重修,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_005,2025,学管部,CANDIDATE_ONLY
面试,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_001,2023,学管部,CANDIDATE_ONLY
预存升级学年包定金,1,,,NON_TASK,HIGH,预存、充值、定金或补款为交易动作，不是公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
题目,1,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_001,2023,学管部,CANDIDATE_ONLY
